"","beta"
"1",1.19172839049611
"2",1.21506778766786
"3",0.914663993123869
"4",1.15514496799742
"5",1.06450696993774
"6",1.05930274409434
"7",0.986491215815457
"8",1.21480517123041
"9",1.07269004880547
"10",1.20009711320877
"11",0.948602430226816
"12",1.54311028028653
"13",0.957867717026016
"14",1.27680124394546
